Time,Time Code,Country Name,Country Code, ,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current LCU) [NY.GDP.MKTP.CN],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
2012,YR2012,East Asia & Pacific,EAS,,21010,9.4,2236.8,3.98,13.5,30135,4.69,,,15.92,1.56
2012,YR2012,"Egypt, Arab Rep.",EGY,,279,3.2,86.4,-0.01,10.2,879,2.23,1675,33.6,11.18,1.65
2012,YR2012,Europe & Central Asia,ECS,,22406,25.0,894.5,-0.11,28.6,25573,0.29,,,20.29,1.81
2012,YR2012,"Iran, Islamic Rep.",IRN,,599,7.9,75.5,-8.55,17.1,1295,-7.44,7341943,78371.2,9.46,2.76
2012,YR2012,Iraq,IRQ,,218,6.8,31.9,9.78,15.3,489,13.94,254225,5098.4,16.58,1.90
2012,YR2012,Jordan,JOR,,31,3.9,8.1,-2.78,9.2,74,2.65,22,3.1,16.43,4.76
2012,YR2012,Lebanon,LBN,,44,8.0,5.5,-3.52,13.6,75,2.72,66678,10840.0,13.58,4.01
2012,YR2012,Malaysia,MYS,,314,10.8,29.1,3.96,23.1,672,5.47,971,34.7,13.84,1.43
2012,YR2012,Middle East & North Africa,MEA,,3576,8.9,402.0,1.82,17.7,7112,3.89,,,15.53,4.67
2012,YR2012,Pakistan,PAK,,224,1.2,187.3,1.33,4.2,792,3.51,20047,52.0,10.49,3.48
2012,YR2012,Philippines,PHL,,250,2.6,97.2,4.88,6.1,591,6.68,10561,64.9,10.84,1.16
2012,YR2012,South Africa,ZAF,,396,7.5,52.8,0.61,12.5,660,2.21,3254,54.9,20.26,1.13
2012,YR2012,South Asia,SAS,,2297,1.4,1683.7,4.11,4.6,7770,5.50,,,10.26,2.53
2012,YR2012,Sri Lanka,LKA,,68,3.4,20.4,9.00,10.2,208,9.14,8732,371.5,7.62,2.16
2012,YR2012,Thailand,THA,,398,5.9,67.8,6.74,14.7,999,7.24,12357,131.2,16.35,1.38
2012,YR2012,Bahrain,BHR,,31,23.7,1.3,1.99,41.8,54,3.73,12,7.9,15.44,3.84
2012,YR2012,"Hong Kong SAR, China",HKG,,263,36.7,7.2,0.58,51.3,367,1.70,2037,323.5,9.10,
2012,YR2012,North America,NAC,,18027,51.7,348.7,1.42,50.7,17665,2.20,,,16.04,3.91
2012,YR2012,World,WLD,,75085,10.6,7087.0,1.31,14.2,100299,2.51,,,17.17,2.35
2013,YR2013,China,CHN,,9570,7.1,1357.4,7.24,12.4,16779,7.77,59296,44.1,13.59,1.87
2013,YR2013,India,IND,,1857,1.4,1280.8,5.13,5.3,6727,6.39,112335,76.5,10.30,2.47
2013,YR2013,Indonesia,IDN,,913,3.6,251.8,4.15,10.0,2520,5.56,9546134,32391.9,9.52,0.92
2013,YR2013,"Korea, Rep.",KOR,,1306,25.9,50.4,2.43,32.6,1645,2.90,1429445,27381.8,15.00,2.63
2013,YR2013,Saudi Arabia,SAU,,747,24.8,30.1,-0.37,51.2,1538,2.70,2800,78.5,22.45,8.98
2013,YR2013,Turkey,TUR,,951,12.5,75.9,6.67,22.3,1691,8.49,1810,18.0,14.12,1.96
2013,YR2013,United Kingdom,GBR,,2786,43.4,64.1,1.46,40.0,2563,2.14,1782,28.5,20.12,2.07
2013,YR2013,United States,USA,,16785,53.1,316.1,1.14,53.1,16785,1.84,16785,54.7,15.09,3.81
2013,YR2013,Brunei Darussalam,BRN,,18,44.7,0.4,-3.44,82.3,33,-2.13,23,47.4,20.16,2.28
2013,YR2013,Israel,ISR,,293,36.3,8.1,2.22,34.1,275,4.15,1057,136.2,22.77,5.91
2013,YR2013,Kuwait,KWT,,174,49.4,3.5,-3.94,78.4,276,1.15,49,11.1,16.39,3.27
2013,YR2013,Monaco,MCO,,7,177.6,0.0,8.29,,,9.60,5,130.0,,
2013,YR2013,Oman,OMN,,79,20.9,3.8,-3.02,42.9,161,4.37,30,6.8,21.57,11.11
2013,YR2013,Qatar,QAT,,199,85.1,2.3,-1.87,122.5,286,4.41,723,309.6,14.56,
2013,YR2013,Singapore,SGP,,308,57.0,5.4,3.13,82.9,447,4.82,385,73.4,9.74,3.07
2013,YR2013,United Arab Emirates,ARE,,390,42.4,9.2,4.41,62.6,576,5.05,1433,135.8,10.98,6.03
2013,YR2013,Afghanistan,AFG,,21,0.6,32.3,1.97,1.9,60,5.60,1139,14.3,12.09,1.08
2013,YR2013,Arab World,ARB,,2868,7.6,379.7,0.92,15.8,6009,3.17,,,17.23,5.76
2013,YR2013,Bangladesh,BGD,,150,1.0,152.8,4.79,3.0,463,6.01,11989,47.8,5.12,1.26
2013,YR2013,East Asia & Pacific,EAS,,21245,9.4,2252.0,4.05,14.4,32455,4.76,,,15.95,1.63
2013,YR2013,"Egypt, Arab Rep.",EGY,,289,3.3,88.4,-0.11,10.3,914,2.19,1860,33.6,11.35,1.61
2013,YR2013,Europe & Central Asia,ECS,,23417,26.1,898.8,0.42,29.6,26600,0.90,,,20.31,1.77
2013,YR2013,"Iran, Islamic Rep.",IRN,,467,6.1,76.5,-1.42,17.2,1316,-0.19,9933968,77255.7,9.24,2.24
2013,YR2013,Iraq,IRQ,,235,7.1,33.2,3.49,16.1,535,7.60,273588,5276.2,21.00,3.32
2013,YR2013,Jordan,JOR,,34,4.0,8.5,-2.36,9.1,77,2.83,24,3.0,15.35,4.30
2013,YR2013,Lebanon,LBN,,47,7.9,5.9,-3.90,13.3,79,2.62,70651,10416.8,12.90,4.21
2013,YR2013,Malaysia,MYS,,323,11.0,29.5,3.27,24.3,715,4.69,1019,35.9,13.72,1.52
2013,YR2013,Middle East & North Africa,MEA,,3554,8.7,410.0,0.69,18.1,7425,2.69,,,16.53,5.26
2013,YR2013,Pakistan,PAK,,231,1.2,191.3,2.22,4.4,841,4.40,22386,53.1,11.00,3.47
2013,YR2013,Philippines,PHL,,272,2.7,98.9,5.27,6.5,644,7.06,11538,68.3,10.84,1.24
2013,YR2013,South Africa,ZAF,,367,6.8,53.7,0.85,12.8,688,2.49,3540,55.4,20.57,1.12
2013,YR2013,South Asia,SAS,,2357,1.4,1705.8,4.72,4.9,8385,6.09,,,10.00,2.46
2013,YR2013,Sri Lanka,LKA,,74,3.6,20.6,2.59,10.6,219,3.40,9592,381.2,7.77,2.15
2013,YR2013,Thailand,THA,,420,6.2,68.1,2.22,15.3,1044,2.69,12915,134.2,16.36,1.40
2013,YR2013,Bahrain,BHR,,33,24.7,1.3,4.21,44.3,58,5.42,12,8.2,15.55,4.14
2013,YR2013,"Hong Kong SAR, China",HKG,,276,38.4,7.2,2.69,53.6,385,3.10,2138,332.2,9.29,
2013,YR2013,North America,NAC,,18632,53.1,351.2,1.15,52.2,18339,1.89,,,15.60,3.53
2013,YR2013,World,WLD,,77236,10.8,7171.0,1.45,14.8,105873,2.65,,,17.13,2.29
2014,YR2014,China,CHN,,10439,7.7,1364.3,6.76,13.4,18345,7.30,64128,47.0,13.38,1.91
2014,YR2014,India,IND,,2039,1.6,1295.6,6.19,5.7,7363,7.41,124680,81.3,10.44,2.50
2014,YR2014,Indonesia,IDN,,891,3.5,255.1,3.64,10.6,2697,5.01,10569705,33570.7,9.43,0.78
2014,YR2014,"Korea, Rep.",KOR,,1411,27.8,50.7,2.69,33.6,1704,3.34,1486079,28119.5,15.12,2.66
2014,YR2014,Saudi Arabia,SAU,,756,24.5,30.9,0.75,52.6,1625,3.65,2836,79.1,26.06,10.68
2014,YR2014,Turkey,TUR,,934,12.1,77.2,3.39,24.0,1851,5.17,2044,18.6,14.09,1.90
2014,YR2014,United Kingdom,GBR,,3064,47.4,64.6,1.84,41.3,2666,2.61,1862,29.0,19.83,1.95
2014,YR2014,United States,USA,,17522,55.0,318.4,1.70,55.0,17522,2.45,17522,55.6,14.64,3.48
2014,YR2014,Brunei Darussalam,BRN,,17,41.7,0.4,-3.62,80.8,33,-2.35,22,45.6,21.42,3.09
2014,YR2014,Israel,ISR,,310,37.7,8.2,1.79,34.2,281,3.76,1108,138.7,22.72,5.96
2014,YR2014,Kuwait,KWT,,163,44.1,3.7,-3.98,76.7,283,0.50,46,10.6,17.76,3.59
2014,YR2014,Monaco,MCO,,7,189.2,0.0,5.99,,,7.20,5,137.7,,
2014,YR2014,Oman,OMN,,81,20.1,4.0,-3.95,42.0,169,2.75,31,6.5,24.71,10.14
2014,YR2014,Qatar,QAT,,206,83.9,2.5,-1.21,123.3,303,3.98,751,305.9,15.47,
2014,YR2014,Singapore,SGP,,315,57.6,5.5,2.56,86.6,474,3.90,399,75.2,9.63,3.08
2014,YR2014,United Arab Emirates,ARE,,403,43.8,9.2,4.10,66.4,612,4.28,1481,141.4,10.93,5.64
2014,YR2014,Afghanistan,AFG,,20,0.6,33.4,-0.67,1.9,63,2.72,1176,14.2,12.71,1.30
2014,YR2014,Arab World,ARB,,2909,7.5,387.9,0.27,16.2,6266,2.44,,,18.33,6.34
2014,YR2014,Bangladesh,BGD,,173,1.1,154.5,4.86,3.2,501,6.06,13437,50.1,5.34,1.28
2014,YR2014,East Asia & Pacific,EAS,,21881,9.7,2267.5,3.43,15.3,34655,4.14,,,15.87,1.68
2014,YR2014,"Egypt, Arab Rep.",EGY,,306,3.4,90.4,0.62,10.6,959,2.92,2130,33.8,11.85,1.69
2014,YR2014,Europe & Central Asia,ECS,,23733,26.3,903.1,1.34,30.4,27417,1.83,,,20.17,1.73
2014,YR2014,"Iran, Islamic Rep.",IRN,,434,5.6,77.5,3.27,18.1,1402,4.60,11517488,79785.8,10.28,2.28
2014,YR2014,Iraq,IRQ,,235,6.8,34.4,-2.97,16.0,549,0.70,273600,5119.4,18.10,2.95
2014,YR2014,Jordan,JOR,,36,4.1,8.9,-1.52,9.1,81,3.10,26,3.0,15.65,4.32
2014,YR2014,Lebanon,LBN,,48,7.7,6.3,-3.77,13.0,82,1.88,72806,10023.7,12.68,4.75
2014,YR2014,Malaysia,MYS,,338,11.3,29.9,4.60,25.9,773,6.01,1106,37.5,13.33,1.46
2014,YR2014,Middle East & North Africa,MEA,,3569,8.5,417.9,0.94,18.6,7768,2.90,,,17.56,5.75
2014,YR2014,Pakistan,PAK,,244,1.3,195.3,2.51,4.6,897,4.67,25169,54.5,10.76,3.48
2014,YR2014,Philippines,PHL,,285,2.8,100.5,4.41,6.9,697,6.15,12634,71.3,10.56,1.09
2014,YR2014,South Africa,ZAF,,351,6.4,54.5,0.25,13.1,714,1.85,3805,55.5,20.80,1.11
2014,YR2014,South Asia,SAS,,2582,1.5,1727.6,5.64,5.3,9137,6.99,,,10.13,2.49
2014,YR2014,Sri Lanka,LKA,,79,3.8,20.8,3.99,11.3,234,4.96,10361,396.4,8.38,2.41
2014,YR2014,Thailand,THA,,407,6.0,68.4,0.55,15.7,1074,0.98,13230,134.9,16.92,1.41
2014,YR2014,Bahrain,BHR,,33,25.0,1.3,2.71,46.3,62,4.35,13,8.4,16.13,4.42
2014,YR2014,"Hong Kong SAR, China",HKG,,291,40.3,7.2,2.04,55.8,403,2.76,2260,339.0,9.48,
2014,YR2014,North America,NAC,,19329,54.6,353.9,1.72,54.1,19143,2.49,,,15.16,3.25
2014,YR2014,World,WLD,,79333,10.9,7255.7,1.63,15.3,111323,2.83,,,17.01,2.24
2015,YR2015,China,CHN,,11016,8.0,1371.2,6.36,14.5,19821,6.91,68599,50.0,14.04,1.91
2015,YR2015,India,IND,,2104,1.6,1310.2,6.80,6.1,8036,8.00,137719,86.8,10.43,2.41
2015,YR2015,Indonesia,IDN,,861,3.3,258.4,3.56,11.1,2859,4.88,11526333,34764.3,9.75,0.89
2015,YR2015,"Korea, Rep.",KOR,,1383,27.1,51.0,2.25,35.8,1824,2.79,1564124,28752.1,15.01,2.64
2015,YR2015,Saudi Arabia,SAU,,654,20.6,31.7,1.48,53.9,1710,4.11,2454,80.2,30.00,13.33
2015,YR2015,Turkey,TUR,,860,10.9,78.5,4.33,25.6,2012,6.09,2339,19.5,13.88,1.85
2015,YR2015,United Kingdom,GBR,,2929,45.0,65.1,1.55,42.5,2769,2.36,1917,29.4,19.49,1.86
2015,YR2015,United States,USA,,18219,56.8,320.7,2.13,56.8,18219,2.88,18219,56.8,14.36,3.27
2015,YR2015,Brunei Darussalam,BRN,,13,31.2,0.4,-1.80,80.2,33,-0.57,18,44.8,25.06,3.28
2015,YR2015,Israel,ISR,,300,35.8,8.4,0.28,35.4,297,2.29,1165,139.1,22.46,5.65
2015,YR2015,Kuwait,KWT,,115,29.9,3.8,-3.20,75.0,288,0.59,34,10.3,24.19,5.01
2015,YR2015,Monaco,MCO,,6,165.9,0.0,3.80,,,4.90,6,143.0,,
2015,YR2015,Oman,OMN,,69,16.2,4.3,-1.15,41.9,179,4.74,27,6.4,28.14,10.79
2015,YR2015,Qatar,QAT,,162,63.0,2.6,-0.65,123.8,318,3.66,589,303.9,20.23,
2015,YR2015,Singapore,SGP,,308,55.6,5.5,1.68,89.0,493,2.89,423,76.5,10.19,3.09
2015,YR2015,United Arab Emirates,ARE,,358,38.7,9.3,4.55,70.2,650,5.11,1315,147.8,12.43,
2015,YR2015,Afghanistan,AFG,,20,0.6,34.4,-1.62,1.9,65,1.45,1223,14.0,12.35,0.99
2015,YR2015,Arab World,ARB,,2558,6.5,396.0,1.19,16.5,6535,3.31,,,20.88,7.37
2015,YR2015,Bangladesh,BGD,,195,1.2,156.3,5.37,3.5,539,6.55,15158,52.8,5.40,1.35
2015,YR2015,East Asia & Pacific,EAS,,21762,9.5,2282.9,3.44,16.1,36836,4.14,,,16.02,1.72
2015,YR2015,"Egypt, Arab Rep.",EGY,,333,3.6,92.4,2.09,10.9,1011,4.37,2444,34.5,11.76,1.72
2015,YR2015,Europe & Central Asia,ECS,,20446,22.5,907.5,1.56,30.9,27998,2.05,,,19.93,1.72
2015,YR2015,"Iran, Islamic Rep.",IRN,,386,4.9,78.5,-2.61,17.8,1399,-1.32,11414167,77702.5,12.70,2.76
2015,YR2015,Iraq,IRQ,,177,5.0,35.6,-0.86,16.0,568,2.48,207200,5075.1,22.57,5.35
2015,YR2015,Jordan,JOR,,38,4.1,9.3,-1.44,9.1,84,2.39,27,2.9,15.27,4.30
2015,YR2015,Lebanon,LBN,,50,7.6,6.5,-3.74,12.7,83,0.42,75336,9648.9,12.49,4.53
2015,YR2015,Malaysia,MYS,,301,10.0,30.3,3.69,27.1,821,5.09,1177,38.9,13.09,1.53
2015,YR2015,Middle East & North Africa,MEA,,3146,7.4,425.8,0.59,18.9,8038,2.49,,,19.91,6.60
2015,YR2015,Pakistan,PAK,,271,1.4,199.4,2.57,4.8,950,4.73,27443,55.9,10.97,3.55
2015,YR2015,Philippines,PHL,,293,2.9,102.1,4.40,7.3,747,6.07,13322,74.4,10.93,1.14
2015,YR2015,South Africa,ZAF,,318,5.7,55.4,-0.34,13.2,730,1.19,4050,55.3,20.45,1.10
2015,YR2015,South Asia,SAS,,2697,1.5,1749.4,6.14,5.7,9922,7.48,,,10.16,2.43
2015,YR2015,Sri Lanka,LKA,,81,3.8,21.0,4.05,11.8,248,5.01,10951,412.4,8.99,2.55
2015,YR2015,Thailand,THA,,401,5.8,68.7,2.72,16.3,1120,3.13,13743,138.6,17.12,1.43
2015,YR2015,Bahrain,BHR,,31,22.7,1.4,0.18,46.9,64,2.86,12,8.4,17.64,4.63
2015,YR2015,"Hong Kong SAR, China",HKG,,309,42.4,7.3,1.52,57.2,417,2.39,2398,344.2,9.64,
2015,YR2015,North America,NAC,,19778,55.5,356.5,1.91,55.6,19814,2.66,,,14.96,3.11
2015,YR2015,World,WLD,,75049,10.2,7340.5,1.62,15.8,116039,2.81,,,17.02,2.24
2016,YR2016,China,CHN,,11138,8.1,1378.7,6.16,15.5,21388,6.74,74006,53.1,14.39,1.92
2016,YR2016,India,IND,,2290,1.7,1324.5,7.00,6.6,8788,8.17,153624,92.9,10.31,2.51
2016,YR2016,Indonesia,IDN,,932,3.6,261.6,3.76,11.6,3035,5.03,12401729,36071.3,9.53,0.79
2016,YR2016,"Korea, Rep.",KOR,,1415,27.6,51.2,2.47,37.1,1903,2.93,1641786,29461.1,15.18,2.61
2016,YR2016,Saudi Arabia,SAU,,645,19.9,32.4,-0.60,54.2,1757,1.67,2419,79.8,25.83,9.87
2016,YR2016,Turkey,TUR,,864,10.8,79.8,1.51,26.2,2087,3.18,2609,19.7,14.84,2.07
2016,YR2016,United Kingdom,GBR,,2694,41.1,65.6,1.19,43.5,2856,1.92,1995,29.8,19.12,1.81
2016,YR2016,United States,USA,,18707,57.9,323.1,0.84,57.9,18707,1.57,18707,57.3,14.28,3.21
2016,YR2016,Brunei Darussalam,BRN,,11,27.2,0.4,-3.60,78.1,33,-2.47,16,43.2,26.22,3.54
2016,YR2016,Israel,ISR,,319,37.3,8.5,1.96,37.5,320,3.98,1225,141.8,22.42,4.63
2016,YR2016,Kuwait,KWT,,109,27.7,4.0,-0.23,75.7,299,2.93,33,10.3,25.71,5.81
2016,YR2016,Monaco,MCO,,6,169.9,0.0,2.54,,,3.50,6,146.6,,
2016,YR2016,Oman,OMN,,66,14.7,4.5,0.01,42.4,190,4.98,25,6.4,29.76,11.97
2016,YR2016,Qatar,QAT,,152,57.2,2.7,-1.28,123.6,328,2.13,552,300.0,19.54,
2016,YR2016,Singapore,SGP,,318,56.7,5.6,1.64,91.5,513,2.96,439,77.8,10.34,3.19
2016,YR2016,United Arab Emirates,ARE,,357,38.1,9.4,1.98,72.4,678,3.06,1311,150.7,12.53,
2016,YR2016,Afghanistan,AFG,,19,0.5,35.4,-0.54,1.9,67,2.26,1314,13.9,12.41,0.96
2016,YR2016,Arab World,ARB,,2511,6.2,404.0,1.33,16.9,6842,3.37,,,19.78,6.09
2016,YR2016,Bangladesh,BGD,,221,1.4,158.0,5.95,3.7,584,7.11,17329,55.9,5.89,1.38
2016,YR2016,East Asia & Pacific,EAS,,22463,9.8,2298.5,3.35,17.0,39102,4.06,,,16.22,1.70
2016,YR2016,"Egypt, Arab Rep.",EGY,,333,3.5,94.4,2.13,11.3,1067,4.35,2709,35.3,11.43,1.67
2016,YR2016,Europe & Central Asia,ECS,,20384,22.4,911.8,1.46,31.8,28967,1.94,,,19.94,1.74
2016,YR2016,"Iran, Islamic Rep.",IRN,,419,5.3,79.6,11.87,20.2,1603,13.40,13151259,86924.7,13.32,2.97
2016,YR2016,Iraq,IRQ,,175,4.8,36.6,11.94,18.1,662,15.21,206707,5681.3,22.51,3.48
2016,YR2016,Jordan,JOR,,39,4.1,9.6,-1.04,9.1,87,2.00,28,2.9,15.59,4.57
2016,YR2016,Lebanon,LBN,,51,7.6,6.7,-1.10,12.7,85,1.61,77243,9543.1,12.22,5.17
2016,YR2016,Malaysia,MYS,,301,9.8,30.7,3.04,28.2,867,4.45,1250,40.1,12.56,1.41
2016,YR2016,Middle East & North Africa,MEA,,3154,7.3,433.6,3.04,19.8,8566,4.92,,,19.18,5.48
2016,YR2016,Pakistan,PAK,,279,1.4,203.6,3.35,5.0,1013,5.53,29076,57.7,11.31,3.59
2016,YR2016,Philippines,PHL,,305,2.9,103.7,5.29,7.8,807,6.88,14480,78.4,11.19,1.43
2016,YR2016,South Africa,ZAF,,296,5.3,56.2,-1.06,13.2,741,0.40,4359,54.7,20.79,1.08
2016,YR2016,South Asia,SAS,,2920,1.6,1771.2,6.38,6.1,10800,7.71,,,10.12,2.50
2016,YR2016,Sri Lanka,LKA,,82,3.9,21.2,3.34,12.4,262,4.49,11996,426.2,8.46,2.14
2016,YR2016,Thailand,THA,,412,6.0,69.0,2.97,17.0,1170,3.36,14555,142.7,16.94,1.44
2016,YR2016,Bahrain,BHR,,32,22.6,1.4,-0.44,47.2,67,3.47,12,8.4,17.01,4.73
2016,YR2016,"Hong Kong SAR, China",HKG,,321,43.7,7.3,1.55,58.8,431,2.18,2491,349.5,9.96,
2016,YR2016,North America,NAC,,20240,56.3,359.2,0.75,56.6,20336,1.52,,,14.90,3.05
2016,YR2016,World,WLD,,76164,10.3,7426.1,1.30,16.3,121318,2.48,,,17.02,2.20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/27/2020,,,,,,,,,,,,,,,
