Time,Time Code,Country Name,Country Code, ,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current LCU) [NY.GDP.MKTP.CN],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
,,,,Scale (Precision),Billions (0),Thousands (0.0),Millions (0.0),Unit (0.00),Thousands (0.0),Billions (0),Unit (0.00),Billions (0),Thousands (0.0),Unit (0.00),Unit (0.00)
2012,YR2012,China,CHN,,8532,6.3,1350.7,7.34,11.3,15301,7.86,53858,41.1,13.48,1.84
2012,YR2012,India,IND,,1828,1.4,1265.8,4.17,4.9,6214,5.46,99440,72.8,10.68,2.54
2012,YR2012,Indonesia,IDN,,918,3.7,248.5,4.61,9.4,2347,6.03,8615705,31100.9,9.25,0.71
2012,YR2012,"Korea, Rep.",KOR,,1223,24.4,50.2,1.76,32.1,1611,2.29,1377457,26732.5,14.83,2.61
2012,YR2012,Saudi Arabia,SAU,,736,25.2,29.2,2.20,50.5,1472,5.41,2760,78.8,19.97,7.68
2012,YR2012,Turkey,TUR,,874,11.7,74.7,3.09,20.6,1539,4.79,1570,16.9,14.23,2.05
2012,YR2012,United Kingdom,GBR,,2705,42.5,63.7,0.78,38.3,2440,1.48,1712,28.1,20.78,2.19
2012,YR2012,United States,USA,,16197,51.6,313.9,1.50,51.6,16197,2.25,16197,54.1,15.53,4.23
2012,YR2012,Brunei Darussalam,BRN,,19,47.7,0.4,-0.43,83.7,33,0.91,24,49.0,18.44,2.16
2012,YR2012,Israel,ISR,,257,32.5,7.9,0.39,31.7,251,2.26,992,133.3,22.77,6.05
2012,YR2012,Kuwait,KWT,,174,52.0,3.3,0.87,80.2,269,6.63,49,11.5,15.06,3.41
2012,YR2012,Monaco,MCO,,6,157.5,0.0,-0.21,,,1.00,4,120.0,,
2012,YR2012,Oman,OMN,,77,21.9,3.5,1.62,43.4,152,9.33,29,7.0,19.54,12.06
2012,YR2012,Qatar,QAT,,187,85.1,2.2,-2.95,122.7,269,4.69,680,315.5,12.25,
2012,YR2012,Singapore,SGP,,295,55.5,5.3,1.92,79.0,420,4.45,369,71.1,8.86,3.16
2012,YR2012,United Arab Emirates,ARE,,375,41.0,9.1,2.26,59.0,539,4.48,1376,130.1,9.73,5.08
2012,YR2012,Afghanistan,AFG,,20,0.6,31.2,8.97,1.8,56,12.75,1029,14.1,12.43,1.18
2012,YR2012,Arab World,ARB,,2788,7.5,371.4,4.28,15.4,5729,6.66,,,15.88,5.01
2012,YR2012,Bangladesh,BGD,,133,0.9,151.0,5.30,2.8,430,6.52,10552,45.6,5.04,1.32
